Data;Temperatura;Umidade;Maquina;Vibracao1;Vibracao2;Vibracao3;Vibracao4;Vibracao5;Vibracao6;HorasDesdeAUltimaFalha;FalharaEmBreve
2016-04-05;60;83;Afrodite;409;1340;1105;776;1458;1785;69;Não
2016-08-26;65;93;Afrodite;1434;746;1836;1079;346;931;85;Não
2016-10-08;62;88;Afrodite;1196;773;1735;612;773;1972;6;Não
2016-08-30;66;88;Afrodite;658;1029;200;1299;373;1941;190;Não
2016-05-16;67;86;Afrodite;1876;1415;499;1713;612;1701;89;Não
2016-07-24;65;82;Afrodite;475;868;1670;1580;1036;1037;201;Não
2016-07-18;68;90;Afrodite;966;156;981;1995;807;177;59;Não
2016-11-22;64;84;Afrodite;1192;1823;1575;1849;1170;1205;123;Não
2016-10-08;66;91;Afrodite;1455;866;1437;1535;1771;799;7;Não
2016-07-19;63;87;Afrodite;1542;994;890;1873;456;1500;92;Não
2016-11-01;67;77;Afrodite;631;735;230;1798;398;180;146;Não
2016-10-28;62;83;Afrodite;297;1487;975;1693;1969;987;36;Não
2016-02-07;65;85;Afrodite;1236;933;708;529;449;597;193;Não
2016-02-20;63;80;Afrodite;1076;1294;512;491;1167;1320;57;Não
2016-11-30;61;75;Afrodite;1261;325;652;1670;1350;353;113;Não
2016-08-02;64;82;Afrodite;1959;1461;1314;1387;156;1057;20;Não
2016-07-13;60;92;Afrodite;963;787;863;1238;1390;439;70;Não
2016-02-29;64;75;Afrodite;1301;822;714;1001;1988;562;64;Não
2016-11-06;64;89;Afrodite;395;1316;1552;1774;805;558;25;Não
2016-05-13;62;79;Afrodite;895;690;446;1100;852;1133;16;Não
2016-08-03;60;88;Afrodite;531;1246;1480;1808;1680;1054;55;Não
2016-02-05;68;75;Afrodite;644;395;547;1804;634;1520;151;Não
2016-06-13;64;81;Afrodite;1414;1619;1252;442;1159;1127;174;Não
2016-02-04;63;78;Afrodite;1001;947;984;1199;218;1725;119;Não
2016-02-10;62;84;Afrodite;226;977;538;2000;720;884;263;Não
2016-06-06;64;85;Afrodite;176;823;203;1832;604;339;78;Não
2016-11-21;61;77;Afrodite;1135;1371;658;1115;1168;966;93;Não
2016-12-01;65;77;Afrodite;884;651;753;1043;1204;1442;10;Não
2016-06-16;60;84;Afrodite;1131;478;1852;199;1258;1511;247;Não
2016-06-30;60;91;Afrodite;454;419;1668;1922;1766;1235;121;Não
2016-07-28;68;91;Afrodite;1902;1768;1623;1301;618;1042;65;Não
2016-06-21;61;87;Afrodite;1798;197;1962;323;1802;1131;44;Não
2016-04-08;66;80;Afrodite;234;1485;515;1207;1525;962;25;Não
2016-11-06;67;87;Afrodite;560;1959;1306;1407;856;658;27;Não
2016-07-16;61;82;Afrodite;309;246;1806;474;1651;1584;19;Não
2016-09-19;64;92;Afrodite;1873;1780;1415;854;679;1840;45;Não
2016-08-24;64;87;Afrodite;1089;1294;1460;210;1193;621;45;Não
2016-03-18;68;78;Afrodite;1956;1991;1862;656;1729;792;29;Não
2016-08-17;67;83;Afrodite;1961;907;988;2000;1153;588;105;Não
2016-11-19;61;88;Afrodite;157;1705;1329;691;1363;1282;52;Não
2016-02-22;65;75;Afrodite;1152;161;1419;1608;1313;178;99;Não
2016-04-23;68;79;Afrodite;975;1647;1117;1242;1146;1378;295;Não
2016-02-17;60;77;Afrodite;1342;481;205;732;1105;628;26;Não
2016-12-30;60;76;Afrodite;1885;1652;636;638;270;1593;11;Não
2016-08-12;62;92;Afrodite;710;570;1428;1143;819;1919;166;Não
2016-12-27;62;80;Afrodite;1645;1533;1239;1294;760;1193;48;Não
2016-02-10;61;81;Afrodite;1040;553;1939;1542;1825;1385;262;Não
2016-05-29;60;87;Afrodite;1937;1708;265;462;1275;943;51;Não
2016-01-05;66;81;Afrodite;1637;1336;1937;1632;1010;183;23;Não
2016-10-20;65;80;Afrodite;1164;277;1954;1949;1897;371;157;Não
2016-01-20;64;81;Afrodite;1979;1274;1131;1292;1123;411;13;Não
2016-05-02;67;85;Afrodite;1055;1860;426;503;1426;448;120;Não
2016-06-21;67;81;Afrodite;1602;1717;1761;416;255;1028;46;Não
2016-05-23;62;78;Afrodite;435;1991;376;1967;263;1103;24;Não
2016-10-13;67;84;Afrodite;955;1657;1634;1944;1473;1725;99;Não
2016-11-07;63;82;Afrodite;1425;822;1237;1831;341;1069;8;Não
2016-07-18;62;82;Afrodite;483;481;1582;1029;937;984;58;Não
2016-07-12;60;85;Afrodite;1576;1841;991;1295;1066;532;42;Não
2016-12-12;65;82;Afrodite;341;164;636;1124;1677;1325;95;Não
2016-08-26;61;88;Afrodite;452;765;1998;1690;173;1650;83;Não
2016-02-28;62;81;Afrodite;898;985;436;1310;1695;294;35;Não
2016-10-02;60;84;Afrodite;473;1584;394;1586;975;2001;38;Não
2016-07-18;63;90;Afrodite;769;685;1678;1645;296;1777;63;Não
2016-01-27;62;77;Afrodite;387;1946;1414;1232;1856;565;28;Não
2016-09-02;68;95;Afrodite;1094;1330;1561;270;214;1169;36;Não
2016-05-07;62;78;Afrodite;437;1898;1400;1590;1267;765;55;Não
2016-04-10;65;77;Afrodite;289;278;1154;720;431;1983;61;Não
2016-08-27;68;93;Afrodite;708;429;1760;1055;243;602;114;Não
2016-09-23;66;89;Afrodite;1538;1067;1183;1691;1418;1969;88;Não
2016-04-20;68;78;Afrodite;180;1215;391;1060;967;1686;220;Não
2016-01-05;66;80;Afrodite;1365;1838;1933;747;1285;1532;21;Não
2016-04-10;60;88;Afrodite;749;1892;225;294;665;1266;62;Não
2016-01-29;68;77;Afrodite;1289;1132;1077;924;1288;316;10;Não
2016-05-11;64;77;Afrodite;1429;1034;1327;1522;1452;244;156;Não
2016-05-08;62;85;Afrodite;1206;1630;1444;1832;402;1254;88;Não
2016-09-19;62;81;Afrodite;381;657;737;983;645;1401;46;Não
2016-08-17;65;89;Afrodite;1154;254;889;1348;1332;1451;102;Não
2016-06-09;66;87;Afrodite;1816;928;1428;1377;686;692;65;Não
2016-11-21;61;85;Afrodite;691;1296;964;226;518;1510;92;Não
2016-01-14;64;77;Afrodite;1094;402;1158;1580;668;816;41;Não
2016-11-03;61;79;Afrodite;1842;1368;1064;851;745;755;180;Não
2016-02-02;65;83;Afrodite;1660;858;1306;906;1056;1354;78;Não
2016-07-04;60;82;Afrodite;414;1122;1618;1074;1324;1098;228;Não
2016-12-04;65;81;Afrodite;541;1972;676;443;408;1048;10;Não
2016-05-25;65;80;Afrodite;1338;498;1838;1598;1042;1455;12;Não
2016-06-25;65;89;Afrodite;1207;1730;1291;1031;1214;231;14;Não
2016-08-27;66;89;Afrodite;1611;1411;1654;984;1595;885;119;Não
2016-01-03;65;84;Afrodite;1195;1240;1894;1404;219;604;147;Não
2016-01-29;62;79;Afrodite;1032;1048;1851;1678;1907;848;6;Não
2016-06-27;67;86;Afrodite;1182;492;1801;1719;1563;1289;54;Não
2016-11-18;67;86;Afrodite;503;683;1681;768;1561;634;23;Não
2016-04-11;60;83;Afrodite;420;1193;1353;511;1465;1195;10;Não
2016-07-18;64;88;Afrodite;1836;1212;568;1294;1427;1977;57;Não
2016-07-31;66;83;Afrodite;824;1456;1950;1736;1701;1287;142;Não
2016-08-26;64;82;Afrodite;718;903;543;947;1440;1392;81;Não
2016-08-29;63;86;Afrodite;1507;1730;166;358;1219;443;160;Não
2016-08-03;68;89;Afrodite;1137;285;309;1825;714;1760;50;Não
2016-11-19;63;83;Afrodite;654;842;555;1659;397;1885;53;Não
2016-04-07;64;82;Afrodite;696;1117;1166;907;1496;1734;112;Não
2016-05-11;67;79;Afrodite;218;190;427;782;739;1928;155;Não
2016-03-11;66;80;Afrodite;1570;1954;556;1844;1411;1750;40;Não
2016-06-16;65;82;Afrodite;1551;1070;1822;1752;1666;1670;248;Não
2016-06-12;66;85;Afrodite;1335;966;1651;357;705;1995;138;Não
2016-07-16;60;85;Afrodite;1181;1694;1223;1221;1960;1281;17;Não
2016-08-14;67;91;Afrodite;631;378;1181;1200;1754;181;31;Não
2016-10-08;66;89;Afrodite;1531;494;654;768;520;1452;3;Não
2016-09-05;64;91;Afrodite;714;2009;732;844;1299;1926;25;Não
2016-04-26;66;88;Afrodite;1845;1926;474;1497;1526;1030;366;Não
2016-12-13;62;84;Afrodite;704;893;439;1358;1713;1710;121;Não
2016-06-16;64;85;Afrodite;378;160;1068;1298;1425;1881;242;Não
2016-03-14;61;76;Afrodite;425;1717;910;1006;893;955;38;Não
2016-01-15;68;76;Afrodite;567;861;196;1852;1925;1765;71;Não
2016-04-29;65;81;Afrodite;1765;1182;251;687;350;1394;49;Não
2016-06-06;60;85;Afrodite;873;1138;619;423;1110;1486;76;Não
2016-05-04;61;85;Afrodite;415;1908;996;457;1903;1502;164;Não
2016-11-13;62;81;Afrodite;823;1824;1452;988;1322;1569;85;Não
2016-03-30;68;85;Afrodite;790;514;911;1467;1374;1990;5;Não
2016-04-25;60;85;Afrodite;440;1660;826;256;1045;1147;336;Não
2016-06-06;66;83;Afrodite;987;1910;890;198;521;302;77;Não
2016-04-16;60;80;Afrodite;1076;1122;1025;1072;1042;1123;122;Não
2016-08-09;63;90;Afrodite;1090;1551;1459;1310;236;304;95;Não
2016-05-07;62;79;Afrodite;720;615;1668;365;850;1541;51;Não
2016-02-07;60;76;Afrodite;952;1237;594;557;779;1801;192;Não
2016-10-02;68;91;Afrodite;1272;958;614;1822;1603;935;42;Não
2016-11-06;64;79;Afrodite;467;174;587;955;1388;495;23;Não
2016-08-20;63;95;Afrodite;1864;456;1498;468;248;1749;173;Não
2016-06-03;68;78;Afrodite;1840;1494;1384;175;358;1350;10;Não
2016-09-16;61;87;Afrodite;1011;1672;1512;1194;1122;282;190;Não
2016-02-11;68;84;Afrodite;1166;1599;1138;978;417;1431;24;Não
2016-11-30;62;79;Afrodite;1643;226;707;1202;1089;496;116;Não
2016-09-10;65;94;Afrodite;518;1585;1410;685;180;1929;48;Não
2016-03-29;65;83;Afrodite;453;1393;834;599;1847;735;70;Não
2016-04-07;68;84;Afrodite;1249;1075;1266;1417;1542;1129;107;Não
2016-01-15;62;75;Afrodite;951;913;402;1588;506;1724;69;Não
2016-10-02;61;82;Afrodite;1151;1154;980;561;959;161;39;Não
2016-08-18;66;94;Afrodite;1352;880;266;234;933;901;136;Não
2016-06-12;68;88;Afrodite;1371;1302;557;1171;278;1810;143;Não
2016-03-15;68;76;Afrodite;376;1498;876;931;481;1646;70;Não
2016-12-09;65;81;Afrodite;952;1240;410;867;1047;1797;24;Não
2016-04-16;67;83;Afrodite;1976;1659;449;812;744;963;121;Não
2016-08-30;61;94;Afrodite;702;340;287;1321;830;1686;192;Não
2016-06-16;60;91;Afrodite;1777;1635;1110;1629;1879;1966;244;Não
2016-04-01;60;79;Afrodite;331;1860;177;1501;1722;1313;43;Não
2016-11-21;67;82;Afrodite;357;1099;1514;1200;1021;300;96;Não
2016-05-26;60;87;Afrodite;492;1010;388;1814;1780;486;30;Não
2016-12-21;68;83;Afrodite;698;1865;241;868;1902;759;96;Não
2016-01-20;68;77;Afrodite;1648;1808;797;490;1261;612;19;Não
2016-04-13;68;86;Afrodite;1097;1346;1163;1252;1532;1580;50;Não
2016-06-18;64;84;Afrodite;301;1626;1478;411;1990;850;288;Não
2016-12-21;68;75;Afrodite;757;1860;556;1000;956;673;97;Não
2016-05-28;66;80;Afrodite;1714;1387;304;1744;539;1401;15;Não
2016-12-22;65;76;Afrodite;501;1008;667;1639;805;471;126;Não
2016-07-09;61;83;Afrodite;685;1785;887;586;502;1966;41;Não
2016-05-05;64;77;Afrodite;1677;1063;737;1598;636;1670;12;Não
2016-01-06;68;77;Afrodite;697;1406;1105;685;875;1161;52;Não
2016-02-17;66;76;Afrodite;940;1604;1979;1850;1659;1016;29;Não
2016-06-22;65;90;Afrodite;1276;178;275;1537;1140;1217;73;Não
2016-06-12;60;77;Afrodite;635;1143;1763;1223;237;353;144;Não
2016-05-25;65;88;Afrodite;1829;1715;547;513;271;1857;9;Não
2016-08-11;62;85;Afrodite;937;1289;834;608;499;1400;137;Não
2016-10-13;60;86;Afrodite;1889;1502;1509;1928;1244;1404;106;Não
2016-10-17;60;84;Afrodite;394;1242;1321;1711;710;1664;82;Não
2016-05-14;68;81;Afrodite;1910;1866;188;967;926;1076;52;Não
2016-02-02;63;78;Afrodite;1453;1772;1206;1801;768;376;81;Não
2016-05-16;63;83;Afrodite;282;1850;227;1740;259;1977;91;Não
2016-07-16;67;88;Afrodite;670;592;460;222;1843;1219;20;Não
2016-11-12;67;79;Afrodite;1528;662;486;1533;1527;951;50;Não
2016-03-02;66;76;Afrodite;707;1716;1667;1950;549;1114;14;Não
2016-12-31;66;79;Afrodite;868;1329;650;766;1871;211;1;Não
2016-07-03;62;90;Afrodite;1603;489;1085;1979;764;903;195;Não
2016-06-07;60;77;Afrodite;894;433;1509;232;664;1640;30;Não
2016-12-13;65;79;Afrodite;1419;483;1630;1161;1433;1866;125;Não
2016-06-22;68;86;Afrodite;1917;1124;1155;1022;1208;840;71;Não
2016-08-14;68;88;Afrodite;358;896;1917;412;240;1048;35;Não
2016-11-28;63;75;Afrodite;1520;685;1625;675;1883;834;73;Não
2016-06-19;68;86;Afrodite;674;1371;833;949;1001;1215;1;Não
2016-09-02;62;83;Afrodite;1050;1173;732;1090;1469;1785;33;Não
2016-03-11;62;79;Afrodite;998;896;1444;662;1786;1968;38;Não
2016-10-16;64;91;Afrodite;995;987;1991;844;1746;730;49;Não
2016-06-24;65;87;Afrodite;1975;290;873;155;1188;1007;16;Não
2016-12-10;65;82;Afrodite;696;500;1002;1230;274;1571;55;Não
2016-04-29;61;77;Afrodite;1717;1640;375;653;412;1082;52;Não
2016-04-01;66;80;Afrodite;171;1547;720;1210;1317;1288;40;Não
2016-07-12;62;81;Afrodite;1419;1963;1247;552;1649;1259;36;Não
2016-10-19;64;90;Afrodite;1653;663;364;1819;740;449;125;Não
2016-11-24;62;80;Afrodite;1548;1208;1765;1104;177;296;163;Não
2016-03-23;67;85;Afrodite;821;181;1887;901;1349;262;13;Não
2016-04-11;61;78;Afrodite;747;1660;160;340;1002;565;3;Não
2016-03-29;67;88;Afrodite;1448;526;499;752;1594;676;74;Não
2016-02-14;61;76;Afrodite;1895;959;1550;1759;1730;2008;28;Não
2016-08-02;67;87;Afrodite;670;1190;816;563;326;183;23;Não
2016-09-17;60;90;Afrodite;1299;1086;364;1701;958;467;4;Não
2016-11-07;64;86;Afrodite;176;1660;362;1573;1050;1137;11;Não
2016-06-09;64;79;Afrodite;1226;1152;1128;1952;501;426;66;Não
2016-01-24;61;76;Afrodite;416;1550;1729;1176;916;1709;43;Não
2016-06-01;63;79;Afrodite;1211;1903;817;1768;810;300;19;Não
2016-07-01;63;88;Afrodite;298;725;1293;971;1150;1275;153;Não
2016-07-25;66;84;Afrodite;805;1095;937;836;1599;656;15;Não
2016-09-13;61;93;Afrodite;1956;707;1931;1900;1044;1948;114;Não
2016-01-06;62;85;Afrodite;869;1126;1252;496;781;1976;51;Não
2016-12-03;68;76;Afrodite;1089;1057;1475;964;1803;1600;50;Não
2016-10-17;61;89;Afrodite;1997;822;1434;757;1528;1070;78;Não
2016-06-18;63;89;Afrodite;714;1349;1671;1877;1877;698;284;Não
2016-08-30;61;86;Afrodite;1398;1746;1050;475;418;1258;187;Não
2016-01-17;65;84;Afrodite;1043;930;1068;947;369;1381;106;Não
2016-11-22;66;81;Afrodite;1228;847;1706;595;626;1328;122;Não
2016-12-15;68;83;Afrodite;736;616;1899;905;1460;1148;164;Não
2016-06-15;61;81;Afrodite;1143;1509;1396;1376;287;1138;211;Não
2016-04-16;66;83;Afrodite;433;306;1208;1041;1137;813;115;Não
2016-08-15;61;85;Afrodite;1857;1814;655;1368;1174;1632;67;Não
2016-10-23;68;77;Afrodite;1725;1968;1895;815;177;1809;226;Não
2016-04-14;61;84;Afrodite;1796;1418;1112;992;630;162;80;Não
2016-09-20;62;87;Afrodite;627;1607;475;927;334;600;15;Não
2016-09-01;63;90;Afrodite;453;695;991;1697;1157;573;1;Não
2016-09-23;66;82;Afrodite;1688;223;1275;173;483;1102;87;Não
2016-12-10;60;85;Afrodite;1597;1114;1127;581;1723;567;50;Não
2016-04-19;65;86;Afrodite;366;246;1402;341;1404;1651;192;Não
2016-12-28;66;83;Afrodite;1485;164;1460;1896;655;1023;78;Não
2016-03-02;60;76;Afrodite;2008;1252;512;1555;1344;1496;12;Não
2016-11-22;67;78;Afrodite;725;314;818;1886;659;657;129;Não
2016-06-22;64;89;Afrodite;508;1503;161;1229;1606;746;75;Não
2016-10-07;64;87;Afrodite;1884;1547;1440;1701;1131;1878;93;Não
2016-02-26;66;77;Afrodite;1874;1889;1960;415;885;1706;33;Não
2016-06-04;63;81;Afrodite;706;910;1669;1217;1158;1206;37;Não
2016-11-19;64;88;Afrodite;343;1855;1061;1851;258;329;56;Não
2016-11-01;62;89;Afrodite;1552;1020;1443;1207;1137;588;143;Não
2016-01-20;65;82;Afrodite;751;1969;1588;294;1909;876;17;Não
2016-01-15;60;78;Afrodite;1694;1167;1558;1604;1360;668;67;Não
2016-09-11;62;91;Afrodite;903;516;1741;1338;1143;1253;81;Não
2016-07-16;67;81;Afrodite;314;1620;1365;808;1365;1453;23;Não
2016-08-24;65;87;Afrodite;1566;1100;1211;1994;1152;333;44;Não
2016-02-04;66;80;Afrodite;1324;742;1632;693;1499;1628;122;Não
2016-04-20;65;87;Afrodite;909;1127;1451;392;798;1493;226;Não
2016-08-20;68;83;Afrodite;1643;482;381;797;1602;338;176;Não
2016-01-27;66;79;Afrodite;1175;1192;1362;1097;773;403;32;Não
2016-08-14;68;90;Afrodite;1844;1064;1353;318;210;742;34;Não
2016-05-20;63;83;Afrodite;1418;858;1285;1218;301;264;19;Não
2016-03-21;63;84;Afrodite;288;1942;1180;396;1251;728;38;Não
2016-09-04;66;83;Afrodite;1224;1179;595;1660;903;486;73;Não
2016-02-01;62;81;Afrodite;1235;1128;1473;1577;1797;1222;51;Não
2016-02-29;63;84;Afrodite;1251;226;1293;891;361;876;62;Não
2016-12-30;63;84;Afrodite;304;537;261;259;528;161;15;Não
2016-09-05;63;85;Afrodite;1827;202;171;1722;216;1801;22;Não
2016-12-09;66;78;Afrodite;270;296;662;160;796;929;20;Não
2016-12-25;66;77;Afrodite;662;1977;692;1037;1866;1207;1;Não
2016-09-10;67;92;Afrodite;258;1663;1085;366;773;1210;46;Não
2016-05-14;66;83;Afrodite;908;1917;1931;1420;965;1860;51;Não
2016-09-07;66;92;Afrodite;1492;949;352;1853;1350;1637;16;Não
2016-02-08;68;84;Afrodite;1019;1634;1215;525;312;1714;221;Não
2016-08-06;64;83;Afrodite;994;1616;427;1407;952;1896;22;Não
2016-01-17;65;77;Afrodite;1852;1127;349;662;269;532;112;Não
2016-06-04;61;86;Afrodite;954;529;1084;1205;1211;1487;41;Não
2016-12-04;64;78;Afrodite;248;350;831;1815;540;1371;14;Não
2016-12-22;66;85;Afrodite;1499;403;521;842;515;1527;123;Não
2016-10-22;60;91;Afrodite;1958;1880;1983;725;1039;1967;193;Não
2016-10-31;66;77;Afrodite;550;915;952;1058;1270;1279;113;Não
2016-05-25;62;77;Afrodite;1275;1051;1663;358;1533;1516;13;Não
2016-02-14;67;83;Afrodite;1178;1089;528;988;695;1896;33;Não
2016-09-14;62;91;Afrodite;182;1654;1752;356;730;749;153;Não
2016-11-19;67;80;Afrodite;1622;1797;285;1144;1804;575;57;Não
2016-08-21;63;93;Afrodite;874;654;673;401;1705;1119;204;Não
2016-03-29;61;85;Afrodite;1314;1864;1075;1501;1843;197;69;Não
2016-12-13;65;80;Afrodite;1728;1998;1829;1816;732;502;126;Não
2016-11-10;63;82;Afrodite;1375;234;878;778;979;490;12;Não
2016-04-28;65;82;Afrodite;325;1377;1457;1761;660;917;18;Não
2016-03-21;66;80;Afrodite;1311;429;1656;824;1995;1890;34;Não
2016-04-10;60;84;Afrodite;1861;1055;263;2010;255;821;64;Não
2016-08-23;62;92;Afrodite;1852;1382;1311;585;1994;1062;11;Não
2016-12-22;63;78;Afrodite;1802;1013;1687;1802;1040;860;129;Não
2016-02-16;66;83;Afrodite;339;1037;338;605;1354;757;1;Não
2016-08-08;60;83;Afrodite;366;1723;574;999;1883;794;69;Não
2016-09-19;65;91;Afrodite;373;864;1788;293;790;574;47;Não
2016-02-02;68;76;Afrodite;269;1764;598;1412;851;1488;83;Não
2016-02-01;65;80;Afrodite;1143;509;1174;1362;1047;351;50;Não
2016-05-19;65;78;Afrodite;392;532;2000;652;1405;1755;44;Não
2016-02-26;64;84;Afrodite;1704;343;857;502;481;1005;36;Não
2016-09-22;68;91;Afrodite;1738;223;1016;332;787;624;54;Não
2016-04-05;68;88;Afrodite;824;191;1044;1066;1847;514;65;Não
2016-02-05;62;80;Afrodite;996;1177;478;1569;1442;1961;153;Não
2016-02-05;65;81;Afrodite;492;1718;2009;1018;1671;1683;154;Não
2016-10-16;68;91;Afrodite;1401;322;1779;1841;406;365;53;Não
2016-08-12;66;93;Afrodite;1950;1108;1600;2011;1633;1141;173;Não
2016-09-02;65;86;Afrodite;1111;1414;245;1426;1556;865;35;Não
2016-01-24;60;79;Afrodite;1923;480;1544;1411;580;394;45;Não
2016-09-11;60;85;Afrodite;1198;1473;271;1862;644;1724;74;Não
2016-11-13;66;89;Afrodite;1202;1161;986;1293;256;538;87;Não
2016-11-19;67;86;Afrodite;503;1042;340;1596;164;1106;51;Não
2016-03-21;61;83;Afrodite;1154;1920;954;525;1591;229;40;Não
2016-02-29;67;81;Afrodite;220;1790;1049;1490;380;1424;63;Não
2016-11-15;64;78;Afrodite;1336;267;998;1464;497;1534;126;Não
2016-10-11;60;88;Afrodite;565;162;555;270;1389;1250;65;Não
2016-08-02;61;92;Afrodite;1004;1871;511;1144;1151;988;21;Não
2016-02-01;62;77;Afrodite;1781;704;1264;629;1606;1734;45;Não
2016-07-27;66;90;Afrodite;1615;622;960;1138;717;970;40;Não
2016-01-05;66;83;Afrodite;1922;1485;621;1125;420;1603;18;Não
2016-08-17;67;83;Afrodite;516;780;342;1402;420;515;107;Não
2016-06-15;68;93;Afrodite;689;504;918;1839;1329;1557;214;Não
2016-11-18;65;83;Afrodite;1682;231;571;223;1694;1532;21;Não
2016-10-11;62;90;Afrodite;435;1461;693;1574;1521;586;63;Não
2016-12-19;64;82;Afrodite;1305;1324;1930;1515;927;1735;50;Não
2016-06-09;64;86;Afrodite;1585;260;1512;1500;1239;1786;68;Não
2016-02-26;61;78;Afrodite;274;531;1399;1946;1080;772;29;Não
2016-08-23;61;83;Afrodite;609;1884;1227;1605;404;1685;14;Não
2016-05-05;73;88;Afrodite;969;494;1416;364;706;1966;17;Não
2016-10-13;67;82;Afrodite;1533;364;503;1660;1188;1445;102;Não
2016-03-20;64;82;Afrodite;1384;1451;506;1607;412;1377;3;Não
2016-06-15;64;88;Afrodite;485;1937;1193;1798;988;1874;215;Não
2016-12-25;63;75;Afrodite;526;947;1346;441;1837;1709;8;Não
2016-12-16;68;83;Afrodite;1355;1532;1537;1842;1813;762;20;Não
2016-05-22;65;77;Afrodite;1822;1343;1699;1842;460;1140;2;Não
2016-02-13;64;76;Afrodite;715;519;1509;192;992;955;1;Não
2016-10-19;68;89;Afrodite;950;469;1248;1997;322;518;124;Não
2016-11-09;66;82;Afrodite;1403;992;1122;721;617;1174;4;Não
2016-04-08;62;86;Afrodite;1573;1360;1680;837;530;835;21;Não
2016-09-11;63;85;Afrodite;714;327;598;1809;1159;1338;78;Não
2016-02-23;63;84;Afrodite;930;245;1238;1951;1060;220;126;Não
2016-08-03;65;93;Afrodite;1099;1438;744;186;1025;326;57;Não
2016-03-12;65;81;Afrodite;1854;1146;1212;1215;954;995;1;Não
2016-10-22;68;84;Afrodite;556;1525;575;1470;941;1192;190;Não
2016-08-18;65;93;Afrodite;660;1429;1833;436;668;165;134;Não
2016-02-28;63;79;Afrodite;1365;288;1031;940;1686;1871;33;Não
2016-04-17;67;81;Afrodite;1474;1369;1788;1109;1343;1542;153;Não
2016-09-07;66;93;Afrodite;909;588;1725;1279;614;1239;18;Não
2016-05-11;68;77;Afrodite;1006;1193;1646;1497;1774;855;159;Não
2016-07-16;65;83;Afrodite;1992;1652;1946;253;754;933;22;Não
2016-12-15;65;80;Afrodite;1729;1694;1148;1279;1365;1151;165;Não
2016-11-03;62;80;Afrodite;406;1294;1609;500;840;948;183;Não
2016-01-15;62;75;Afrodite;533;1272;977;1940;1973;353;72;Não
2016-05-25;61;78;Afrodite;1990;328;1416;1762;1342;211;11;Não
2016-06-03;64;86;Afrodite;1744;904;1307;646;1973;1198;4;Não
2016-10-29;65;78;Afrodite;992;225;666;1176;1935;1151;75;Não
2016-03-14;66;84;Afrodite;1819;445;1036;1302;1320;1906;41;Não
2016-03-23;64;88;Afrodite;951;1480;1828;1954;1961;257;12;Não
2016-09-17;60;94;Afrodite;641;186;351;1968;1773;1391;2;Não
2016-10-20;66;86;Afrodite;903;1196;1343;425;1417;1930;151;Não
2016-08-24;68;85;Afrodite;957;993;589;1713;951;737;41;Não
2016-04-04;68;81;Afrodite;1207;322;629;737;1081;1628;40;Não
2016-09-25;65;87;Afrodite;301;1430;1996;1798;403;802;17;Não
2016-03-06;61;80;Afrodite;1091;1569;688;1277;388;1354;33;Não
2016-04-11;63;83;Afrodite;1766;835;430;1793;322;1502;9;Não
2016-10-07;66;80;Afrodite;1971;1151;1622;441;1926;703;99;Não
2016-06-06;60;87;Afrodite;903;893;1733;1087;1293;1753;79;Não
2016-12-28;68;82;Afrodite;482;1671;424;343;1027;1977;75;Não
2016-12-30;65;75;Afrodite;1671;1896;1106;1221;325;1421;17;Não
2016-09-08;68;85;Afrodite;496;760;691;224;1981;1477;6;Não
